Comp_Name,Title,Location,Job_Type
Expleo,Integration Engineer," 
Maadi, Cairo",Full Time
appcorp,Frontend Developer," 
Cairo, Egypt",Full Time
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",Full Time
Peerless,"Front End Odoo Developer (POS,E-commerce)"," 
Mohandessin, Giza",Full Time
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",Full Time
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",Work From Home
2CooM,Data Analyst," 
6th of October, Giza",Full Time
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",Full Time
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",Full Time
Giza Systems,Senior Full Stack Developer," 
Cairo, Egypt",Full Time
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",Full Time
2CooM,Developer," 
6th of October, Giza",Full Time
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",Full Time
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",Full Time
Confidential Company,Laravel PHP Developer - Part-Time Position,"Cairo, Egypt",Part Time
Confidential Company,Laravel PHP Developer - Part-Time Position,"Cairo, Egypt",Work From Home
Sceel.io,SAP Presales," 
Maadi, Cairo",Full Time
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",Internship
Edentech,Flutter Developer," 
Heliopolis, Cairo",Full Time
Nile Sugar,IT Director," 
Agouza, Giza",Full Time
Nebras Technology,.NET Software Developer," 
Dokki, Giza",Full Time
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",Full Time
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",Full Time
Webhelp,Head OF IT," 
New Cairo, Cairo",Full Time
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",Full Time
Horalix,Django Python Programmer with Experience in Ethical Hacking," 
Nasr City, Cairo",Full Time
Tidal,Software Account Manager," 
Cairo, Egypt",Full Time
Tidal,Software Account Manager," 
Cairo, Egypt",Shift Based
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",Full Time
Confidential Company,IT Backup Engineer,"Cairo, Egypt",Full Time
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",Full Time
Sketch-tech,Full Stack Developer," 
Glim, Alexandria",Full Time
Confidential Company,Senior Backend Developer (.NET Core),"Cairo, Egypt",Full Time
Tidal,Dot Net Web Developer," 
Cairo, Egypt",Full Time
Tidal,Dot Net Web Developer," 
Cairo, Egypt",Shift Based
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",Full Time
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",Full Time
Safa Soft,Front End Developer," 
Maadi, Cairo",Full Time
Nahdet Misr Publishing Group,IT Clerk," 
Giza, Egypt",Full Time
Nahdet Misr Publishing Group,SAP SD CX function consultant," 
Giza, Egypt",Full Time
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",Full Time
Safa Soft,UX Designer," 
Maadi, Cairo",Full Time
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",Full Time
Confidential Company,Software Development Team Leader,"Cairo, Egypt",Full Time
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",Full Time
Confidential Company,Senior Database Administrator,"Cairo, Egypt",Full Time
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",Full Time
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",Full Time
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",Full Time
DX Republic,UI UX Designer," 
Cairo, Egypt",Full Time
DEVOPSOLUTION,Senior Flutter Developer," 
Nasr City, Cairo",Full Time
BI-Technologies,Software Quality Assurance Engineer (Process Improvement)," 
New Cairo, Cairo",Full Time
Confidential Company,Senior .NET Developer,"Cairo, Egypt",Full Time
Obeikan Digital Solutions,Integration Engineer," 
Cairo, Egypt",Full Time
Confidential Company,Senior Software Quality Control Engineer (Nasr City),"Cairo, Egypt",Full Time
Easy Cash,Senior Software Quality Engineer," 
Heliopolis, Cairo",Full Time
