Comp_Name,Sector
Expleo,Computer Software
Expleo,Information Technology Services
appcorp,Information Technology Services
appcorp,Telecommunications
Aqarmap.com,Internet/E-commerce
Aqarmap.com,Real Estate/Property Management
Peerless,Marketing and Advertising
Peerless,Computer Software
Peerless,Information Technology Services
Road9 Media,Marketing and Advertising
Road9 Media, Graphic Design
Road9 Media, Internet/E-commerce
2CooM,Management Consulting
Fawry Microfinance,Accounting and Auditing Services
El Sewedy Education - The Knowledge Hub Universities,Education
Giza Systems,Information Technology Services
e-finance,Financial Services
BBI-Consultancy,Computer Software
BBI-Consultancy,Information Technology Services
LCM North Africa Middle East,Pharmaceuticals
Sceel.io,Computer Software
Sceel.io,Outsourcing/Offshoring
Sceel.io,Recruitment and Staffing
Saint-Gobain,Manufacturing
Edentech,Computer Software
Nile Sugar,Food and Beverage Production
Nile Sugar,Manufacturing
Nebras Technology,Computer Software
Nebras Technology,Information Technology Services
Nebras Technology,Healthcare and Medical Services
Link Datacenter,Information Technology Services
Webhelp,Outsourcing/Offshoring
Webhelp,Recruitment and Staffing
Nile Projects & Trading,Apparel and Fashion
Nile Projects & Trading,Automotive
Horalix,Marketing and Advertising
Horalix,Information Technology Services
Tidal,Computer Software
Kyan Labs,Computer and Network Security
Puffin,Computer Software
Puffin,Engineering Services
Puffin,Recruitment and Staffing
Sketch-tech,Marketing and Advertising
Osolutions,Marketing and Advertising
Osolutions,Computer Software
Osolutions,Information Technology Services
Safa Soft,Publishing and Printing
Nahdet Misr Publishing Group,Computer Software
Nahdet Misr Publishing Group,E-Learning
iStoria,Information Technology Services
iStoria,Electronics and Semiconductors
iStoria,Manufacturing
Fruitful Solutions,Consumer Services
Fruitful Solutions,Logistics and Supply Chain
Fruitful Solutions,Retail
Sky Distribution,Computer Software
Sky Distribution,Information Technology Services
Softec Technologies,Computer and Network Security
Softec Technologies,Computer Software
Softec Technologies,Information Technology Services
Injaz Tech for advanced systems,Computer and Network Security
Injaz Tech for advanced systems,Computer Software
Injaz Tech for advanced systems,Information Technology Services
DX Republic,Animation
DX Republic,Information Technology Services
DEVOPSOLUTION,Computer Software
BI-Technologies,Computer Software
BI-Technologies,Information Technology Services
Obeikan Digital Solutions,Financial Services
Easy Cash,Information Technology Services
TRIMETIS,Computer and Network Security
TRIMETIS,Computer Software
Tafeel,Marketing and Advertising
Tafeel,Construction - Industrial Facilities and Infrastructure
Tafeel,Wholesale Trade
Latalia,Financial Services
FlapKap,Information Technology Services
FlapKap,Telecommunications
MakanE Company,Information Technology Services
JRM for Communications,Computer Software
JRM for Communications,Human Resources
Wicresoft,Information Technology Services
Wicresoft,Food Services/Restaurants/Catering
Wicresoft,Investment Banking
BSmart,Marketing and Advertising
BSmart,Computer Software
BSmart,Media Production
Jessour Misr,Information Technology Services
Horizon Agency,Financial Services
LINK Development,Information Technology Services
Fawry for Banking Technology and Electronic Payments S.A.E,Agriculture/Fishing/Farming
Perfect Presentation,Computer Software
Perfect Presentation,Information Technology Services
AGA,Information Technology Services
ICIS,Outsourcing/Offshoring
PETC,Real Estate/Property Management
PETC,Consulting Services
Holix,Computer and Network Security
BDO Esnad,Computer Software
BDO Esnad,Information Technology Services
BDO Esnad,Market Research
The Address Investments for Real Estate Consultancy,Computer Software
ACT Advanced Computer Technology,Computer Software
ACT Advanced Computer Technology,Information Technology Services
intella,Construction - Industrial Facilities and Infrastructure
intella,Construction - Residential & Commercial/Office
Algoriza,FMCG
Asset Technology Group,Higher Education
Asset Technology Group,Non-Profit Organizations
Itqanconstruction,Computer Software
Kgroup,Packaging and Containers
Zewail City,Information Technology Services
Technotown,Healthcare and Medical Services
Technotown,Medical Devices and Supplies
Smart Cards application,Information Technology Services
Smart Cards application,Training and Coaching
Smart Cards application,Consulting Services
Cepack,Marketing and Advertising
Cepack,Apparel and Fashion
Cepack,Internet/E-commerce
Informatique Education,Computer Software
Informatique Education,Logistics and Supply Chain
3D Diagnostix,Computer Software
3D Diagnostix,Information Technology Services
conveyou,Non-Profit Organizations
etmana,Agriculture/Fishing/Farming
etmana,FMCG
etmana,Import and Export
VAS Integrated Solutions,Information Technology Services
VAS Integrated Solutions,Internet/E-commerce
Raya Holding for Financial Investments,Computer Software
Raya Holding for Financial Investments,Information Technology Services
Olivery,Computer Software
Olivery,Information Technology Services
Olivery,Telecommunications
3S Software,Information Technology Services
Alexandria Business Association- SMEs Project,Computer Software
El Banna Group Company,Marketing and Advertising
El Banna Group Company,Healthcare and Medical Services
El Banna Group Company,Pharmaceuticals
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Computer Software
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Information Technology Services
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Internet/E-commerce
Dimofinf Operations Center,Construction - Industrial Facilities and Infrastructure
MTS-IT,Engineering Services
CommuniCare Health,Computer Software
Optasia,Information Technology Services
Octane solutions,Information Technology Services
Octane solutions,E-Learning
FlairsTech,FMCG
FlairsTech,Internet/E-commerce
Caduceus Lane,Computer Software
Arabia for Information Technology,Information Technology Services
Asass,Banking
Asass,Information Technology Services
Amer Vision Group,Accounting and Auditing Services
Amer Vision Group,Information Technology Services
Amer Vision Group,Financial Services
Millensys,Computer Software
Millensys,Translation and Localization
Millensys, E-Learning
Servmix,Consulting Services
classera,Information Technology Services
GoodsMart,Telecommunications
Agolo Egypt,Marketing and Advertising
Agolo Egypt,Computer Software
Agolo Egypt,Information Technology Services
eVision,Computer Software
Al Ahly Momkn for e-payment,Information Technology Services
Al Ahly Momkn for e-payment,Internet/E-commerce
Al Ahly Momkn for e-payment,Wholesale Trade
ERP-Bank,Manufacturing
Jumia Technologies AG,Computer Software
Dentsu Inc,Computer Software
Arabic Localizer,Manufacturing
Galaxy Consulting Solutions (G.C.S),Financial Services
softprograms,Information Technology Services
S.C. Johnson & Son Inc,Computer Software
Merck Sharp & Dohme Corp,Computer Software
Giza Arabia Systems,Information Technology Services
Giza Arabia Systems,Consulting Services
IBM WTC Egypt,Computer Software
IBM WTC Egypt,Information Technology Services
Sutherland,Business Services - Other
Sutherland,Computer Software
Sutherland,Information Technology Services
BayanTech,Computer Software
BayanTech,Internet/E-commerce
BayanTech,Recruitment and Staffing
Nile Creations,Computer Software
34ML,Information Technology Services
QARA,Alternative Medicine
QARA,Healthcare and Medical Services
QARA,Medical Devices and Supplies
idaco,Financial Services
Bevatel,Real Estate/Property Management
Bevatel,Retail
WSC,Outsourcing/Offshoring
Elaraby Group,Information Technology Services
Elaraby Group,Healthcare and Medical Services
Al Ahly capital holding - Al Ahly Tamkeen,Human Resources
Amazon MENA,Medical Devices and Supplies
YOUXEl Technology,Apparel and Fashion
YOUXEl Technology, Computer Networking
YOUXEl Technology, Retail
TechJump,Automotive
TechJump,Logistics and Supply Chain
ITSS,Other - Not Classified
Robiquity,Real Estate/Property Management
egabi solutions,Computer Software
egabi solutions,Information Technology Services
Erpplus5,Accounting and Auditing Services
GetTechForce.com,Information Technology Services
LINK TSP,Information Technology Services
LINK TSP,Outsourcing/Offshoring
LINK TSP,Recruitment and Staffing
Efada Technology,Computer Software
MFG,Energy and Utilities
MedVAlley S.A.E,Computer Software
Mubasher,Automotive
Trans World Trading,Human Resources
Trans World Trading,Recruitment and Staffing
Trans World Trading,Consulting Services
Enable,Computer Software
Dedalus,Information Technology Services
Dedalus,Internet/E-commerce
Premier Services and Recruitment,Computer Software
Premier Services and Recruitment,Research
Premier Services and Recruitment,E-Learning
K Line Europe,Food Services/Restaurants/Catering
Yespays,Travel and Tourism
Nacita,Marketing and Advertising
Nacita,Information Technology Services
Nacita,Graphic Design
Delta Egypt For Lighting,Computer Hardware
Delta Egypt For Lighting,Computer Software
Delta Egypt For Lighting,Information Technology Services
Kandeel Group,Information Technology Services
Qureos,Telecommunications
Bydotpy,Computer and Network Security
Bydotpy,Computer Software
Bydotpy,Information Technology Services
Cashcall,Information Technology Services
