Comp_Name,Job_Title,Location,Skill_Name
Expleo,Integration Engineer," 
Maadi, Cairo",python
Expleo,Integration Engineer," 
Maadi, Cairo",linux
Expleo,Integration Engineer," 
Maadi, Cairo",sql
Expleo,Integration Engineer," 
Maadi, Cairo",unix
Expleo,Integration Engineer," 
Maadi, Cairo",ssl
appcorp,Frontend Developer," 
Cairo, Egypt",html
appcorp,Frontend Developer," 
Cairo, Egypt",database
appcorp,Frontend Developer," 
Cairo, Egypt",css
appcorp,Frontend Developer," 
Cairo, Egypt",computer science
appcorp,Frontend Developer," 
Cairo, Egypt",codeigniter
appcorp,Frontend Developer," 
Cairo, Egypt",ajax
appcorp,Frontend Developer," 
Cairo, Egypt",information technology (it)
appcorp,Frontend Developer," 
Cairo, Egypt",mysql
appcorp,Frontend Developer," 
Cairo, Egypt",laravel
appcorp,Frontend Developer," 
Cairo, Egypt",javascript
appcorp,Frontend Developer," 
Cairo, Egypt",software development
appcorp,Frontend Developer," 
Cairo, Egypt",php
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",analyst
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",analytical
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",computer science
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",erp systems
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",information technology (it)
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",software
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",system analyst
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",system analysis
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",analysis
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",crm
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",erp
Peerless,"Front End Odoo Developer (POS,E-commerce)"," 
Mohandessin, Giza",python
Peerless,"Front End Odoo Developer (POS,E-commerce)"," 
Mohandessin, Giza",javascript
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",development
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",laravel
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",information technology (it)
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",restful
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",php
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",computer science
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",database
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",mysql
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",software development
2CooM,Data Analyst," 
6th of October, Giza",analyst
2CooM,Data Analyst," 
6th of October, Giza",computer science
2CooM,Data Analyst," 
6th of October, Giza",data analyst
2CooM,Data Analyst," 
6th of October, Giza",python
2CooM,Data Analyst," 
6th of October, Giza",sql
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",computer
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",hardware
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",software
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",mcsa
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",maintenance
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",help desk
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",troubleshooting
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",active directory
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",group policy (gpo)
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",network configuration
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",installation
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",communication
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",it support
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",customer support
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",information technology (it)
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",hardware
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",software
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",configuration
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",microsoft office
Giza Systems,Senior Full Stack Developer," 
Cairo, Egypt",front-end
Giza Systems,Senior Full Stack Developer," 
Cairo, Egypt",full stack
Giza Systems,Senior Full Stack Developer," 
Cairo, Egypt",nodejs
Giza Systems,Senior Full Stack Developer," 
Cairo, Egypt",react
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",computer science
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",information technology (it)
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",oracle
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",mysql database
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",databases
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",oracle database
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",oracle database 11g
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",oracle database 10g
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",oracle database (rdbms)
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",dataplaform
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",data platform
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",goldengate
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",oracle rac
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",oracle data guard
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",data guard
2CooM,Developer," 
6th of October, Giza",computer science
2CooM,Developer," 
6th of October, Giza",engineering
2CooM,Developer," 
6th of October, Giza",software engineering
2CooM,Developer," 
6th of October, Giza",python
