Comp_Name,Job_Title,Location,Category_Name
Expleo,Integration Engineer," 
Maadi, Cairo",IT/Software Development
appcorp,Frontend Developer," 
Cairo, Egypt",IT/Software Development
appcorp,Frontend Developer," 
Cairo, Egypt",Engineering - Telecom/Technology
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",IT/Software Development
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",Analyst/Research
Aqarmap.com,ERP System Analyst," 
Nasr City, Cairo",Engineering - Telecom/Technology
Peerless,"Front End Odoo Developer (POS,E-commerce)"," 
Mohandessin, Giza",IT/Software Development
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",IT/Software Development
Road9 Media,Senior Laravel Developer," 
Maadi, Cairo",Engineering - Telecom/Technology
2CooM,Data Analyst," 
6th of October, Giza",IT/Software Development
2CooM,Data Analyst," 
6th of October, Giza",Analyst/Research
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",Installation/Maintenance/Repair
Fawry Microfinance,IT Help Desk," 
Maadi, Cairo",IT/Software Development
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",Installation/Maintenance/Repair
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",IT/Software Development
El Sewedy Education - The Knowledge Hub Universities,IT Support Officer," 
New Capital, Cairo",Education/Teaching
Giza Systems,Senior Full Stack Developer," 
Cairo, Egypt",IT/Software Development
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",IT/Software Development
e-finance,Oracle Data Platform Supervisor," 
6th of October, Giza",Engineering - Telecom/Technology
2CooM,Developer," 
6th of October, Giza",IT/Software Development
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",IT/Software Development
BBI-Consultancy,Senior Technical Project Manager," 
Nasr City, Cairo",Project/Program Management
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",IT/Software Development
LCM North Africa Middle East,IT Administrator," 
10th of Ramadan City, Cairo",Engineering - Telecom/Technology
Confidential Company,Laravel PHP Developer - Part-Time Position,"Cairo, Egypt",IT/Software Development
Sceel.io,SAP Presales," 
Maadi, Cairo",Customer Service/Support
Sceel.io,SAP Presales," 
Maadi, Cairo",IT/Software Development
Sceel.io,SAP Presales," 
Maadi, Cairo",Sales/Retail
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",Engineering - Mechanical/Electrical
Saint-Gobain,MKT2 Developer," 
Ain Sokhna, Suez",Engineering - Other
Edentech,Flutter Developer," 
Heliopolis, Cairo",IT/Software Development
Nile Sugar,IT Director," 
Agouza, Giza",Operations/Management
Nile Sugar,IT Director," 
Agouza, Giza",Other
Nebras Technology,.NET Software Developer," 
Dokki, Giza",IT/Software Development
Nebras Technology,.NET Software Developer," 
Dokki, Giza",Engineering - Telecom/Technology
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",Installation/Maintenance/Repair
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",IT/Software Development
Link Datacenter,Network Security Engineer," 
Maadi, Cairo",Engineering - Telecom/Technology
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",Business Development
Edentech,Senior Business Analyst," 
Heliopolis, Cairo",IT/Software Development
Webhelp,Head OF IT," 
New Cairo, Cairo",IT/Software Development
Webhelp,Head OF IT," 
New Cairo, Cairo",Engineering - Telecom/Technology
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",IT/Software Development
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",Marketing/PR/Advertising
Nile Projects & Trading,Product Manager (Automotive Sector)," 
6th of October, Giza",Sales/Retail
Horalix,Django Python Programmer with Experience in Ethical Hacking," 
Nasr City, Cairo",Project/Program Management
Tidal,Software Account Manager," 
Cairo, Egypt",Business Development
Tidal,Software Account Manager," 
Cairo, Egypt",IT/Software Development
Tidal,Software Account Manager," 
Cairo, Egypt",Sales/Retail
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",IT/Software Development
Kyan Labs,Front End Developer React js," 
Maadi, Cairo",Engineering - Telecom/Technology
Confidential Company,IT Backup Engineer,"Cairo, Egypt",IT/Software Development
Confidential Company,IT Backup Engineer,"Cairo, Egypt",Engineering - Telecom/Technology
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",Creative/Design/Art
Puffin,Senior UI/UX Designer," 
Sheikh Zayed, Giza",IT/Software Development
Sketch-tech,Full Stack Developer," 
Glim, Alexandria",IT/Software Development
Confidential Company,Senior Backend Developer (.NET Core),"Cairo, Egypt",IT/Software Development
Confidential Company,Senior Backend Developer (.NET Core),"Cairo, Egypt",Engineering - Telecom/Technology
Tidal,Dot Net Web Developer," 
Cairo, Egypt",IT/Software Development
Tidal,Dot Net Web Developer," 
Cairo, Egypt",Engineering - Telecom/Technology
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",IT/Software Development
Osolutions,Full Stack wordpress Developer," 
Sheraton, Cairo",Engineering - Telecom/Technology
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",Installation/Maintenance/Repair
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",IT/Software Development
Confidential Company,Senior Odoo Developer - (Onsite),"Cairo, Egypt",Engineering - Telecom/Technology
Safa Soft,Front End Developer," 
Maadi, Cairo",Creative/Design/Art
Safa Soft,Front End Developer," 
Maadi, Cairo",IT/Software Development
Safa Soft,Front End Developer," 
Maadi, Cairo",Engineering - Telecom/Technology
Nahdet Misr Publishing Group,IT Clerk," 
Giza, Egypt",IT/Software Development
Nahdet Misr Publishing Group,IT Clerk," 
Giza, Egypt",Engineering - Telecom/Technology
Nahdet Misr Publishing Group,SAP SD CX function consultant," 
Giza, Egypt",IT/Software Development
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",Business Development
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",IT/Software Development
iStoria,Senior Backend Developer (PHP)," 
Cairo, Egypt",Engineering - Telecom/Technology
Safa Soft,UX Designer," 
Maadi, Cairo",Creative/Design/Art
Safa Soft,UX Designer," 
Maadi, Cairo",IT/Software Development
Safa Soft,UX Designer," 
Maadi, Cairo",Engineering - Telecom/Technology
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",IT/Software Development
Fruitful Solutions,C++ / Qt Developer," 
New Nozha, Cairo",Engineering - Telecom/Technology
Confidential Company,Software Development Team Leader,"Cairo, Egypt",IT/Software Development
Sky Distribution,Application Support - Microsoft dynamic Ax," 
Sheikh Zayed, Giza",IT/Software Development
Confidential Company,Senior Database Administrator,"Cairo, Egypt",Installation/Maintenance/Repair
Confidential Company,Senior Database Administrator,"Cairo, Egypt",IT/Software Development
Confidential Company,Senior Database Administrator,"Cairo, Egypt",Engineering - Telecom/Technology
Softec Technologies,Senior Scrum Master," 
Cairo, Egypt",IT/Software Development
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",Business Development
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",IT/Software Development
Injaz Tech for advanced systems,IT Sales Manager (integrated solutions)," 
Heliopolis, Cairo",Sales/Retail
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",Business Development
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",IT/Software Development
Confidential Company,Developer Engineer .NET,"Cairo, Egypt",Engineering - Telecom/Technology
DX Republic,UI UX Designer," 
Cairo, Egypt",Creative/Design/Art
DX Republic,UI UX Designer," 
Cairo, Egypt",IT/Software Development
DX Republic,UI UX Designer," 
Cairo, Egypt",Engineering - Telecom/Technology
DEVOPSOLUTION,Senior Flutter Developer," 
Nasr City, Cairo",IT/Software Development
DEVOPSOLUTION,Senior Flutter Developer," 
Nasr City, Cairo",Engineering - Telecom/Technology
BI-Technologies,Software Quality Assurance Engineer (Process Improvement)," 
New Cairo, Cairo",IT/Software Development
BI-Technologies,Software Quality Assurance Engineer (Process Improvement)," 
New Cairo, Cairo",Quality
BI-Technologies,Software Quality Assurance Engineer (Process Improvement)," 
New Cairo, Cairo",Engineering - Telecom/Technology
Confidential Company,Senior .NET Developer,"Cairo, Egypt",IT/Software Development
Confidential Company,Senior .NET Developer,"Cairo, Egypt",Engineering - Telecom/Technology
Obeikan Digital Solutions,Integration Engineer," 
Cairo, Egypt",IT/Software Development
Confidential Company,Senior Software Quality Control Engineer (Nasr City),"Cairo, Egypt",IT/Software Development
Confidential Company,Senior Software Quality Control Engineer (Nasr City),"Cairo, Egypt",Quality
Confidential Company,Senior Software Quality Control Engineer (Nasr City),"Cairo, Egypt",Engineering - Telecom/Technology
Easy Cash,Senior Software Quality Engineer," 
Heliopolis, Cairo",IT/Software Development
Easy Cash,Senior Software Quality Engineer," 
Heliopolis, Cairo",Quality
Easy Cash,Senior Software Quality Engineer," 
Heliopolis, Cairo",Engineering - Telecom/Technology
Easy Cash,Senior Backend Developer (PHP)," 
Heliopolis, Cairo",IT/Software Development
Easy Cash,Senior Backend Developer (PHP)," 
Heliopolis, Cairo",Engineering - Telecom/Technology
Easy Cash,DevOps Engineer," 
Heliopolis, Cairo",IT/Software Development
Easy Cash,DevOps Engineer," 
Heliopolis, Cairo",Engineering - Telecom/Technology
TRIMETIS,Senior Full Stack Developer Angular and Java," 
Maadi, Cairo",IT/Software Development
TRIMETIS,Senior Full Stack Developer Angular and Java," 
Maadi, Cairo",Engineering - Telecom/Technology
Confidential Company,Full Stack Team Lead,"Cairo, Egypt",IT/Software Development
Confidential Company,Full Stack Team Lead,"Cairo, Egypt",Operations/Management
Confidential Company,Full Stack Team Lead,"Cairo, Egypt",Engineering - Telecom/Technology
